Fighter,wins,losses,draws,nc,total_matches
danaa batgerel,3,1,0,0,4
daniel barez,1,1,0,0,2
daniel cormier,11,3,0,1,15
daniel da silva,0,3,0,0,3
daniel jolly,0,2,0,0,2
daniel kelly,6,4,0,0,10
daniel lacerda,0,2,0,1,3
daniel marcos,4,0,0,1,5
daniel omielanczuk,4,5,0,0,9
daniel pineda,5,8,0,1,14
daniel roberts,3,4,0,0,7
daniel rodriguez,8,4,0,0,12
daniel santos,2,1,0,0,3
daniel sarafian,2,4,0,0,6
daniel spitz,1,3,0,0,4
daniel spohn,0,1,0,0,1
daniel teymur,1,4,0,0,5
daniel zellhuber,3,2,0,0,5
danielle taylor,2,3,0,0,5
danillo villefort,0,1,0,0,1
danilo belluardo,0,2,0,0,2
danilo marques,2,2,0,0,4
danny abbadi,0,2,0,0,2
danny barlow,2,0,0,0,2
danny castillo,7,7,0,0,14
danny chavez,1,2,1,0,4
danny downes,0,2,0,0,2
danny henry,2,2,0,0,4
danny martinez,1,3,0,0,4
danny mitchell,0,2,0,0,2
danny roberts,7,7,0,0,14
danny silva,1,0,0,0,1
dante rivera,0,1,0,0,1
danyelle wolf,0,1,0,0,1
daria zhelezniakova,1,1,0,0,2
darian weeks,0,3,0,0,3
darko stosic,1,3,0,0,4
daron cruickshank,6,6,0,1,13
darrel gholar,0,1,0,0,1
darrell horcher,1,3,0,0,4
darrell montague,0,3,0,0,3
darren elkins,19,10,0,0,29
darren stewart,5,7,0,2,14
darren till,6,5,1,0,12
darren uyenoyama,2,2,0,0,4
darrick minner,2,4,0,0,6
darrill schoonover,0,1,0,0,1
darrius flowers,0,3,0,0,3
dashon johnson,0,2,0,0,2
dave beneteau,3,3,0,0,6
dave berry,0,1,0,0,1
dave galera,0,1,0,0,1
dave herman,1,4,0,0,5
dave menne,2,4,0,0,6
dave strasser,1,1,0,0,2
davey grant,7,6,0,0,13
davi ramos,4,3,0,0,7
david abbott,8,10,0,0,18
david baron,0,1,0,0,1
david bielkheden,1,2,0,0,3
david branch,4,5,0,0,9
david dodd,0,2,0,0,2
david dvorak,3,3,0,0,6
david heath,2,3,0,0,5
david hood,0,1,0,0,1
david kaplan,0,2,0,0,2
david lee,0,2,0,0,2
david levicki,0,1,0,0,1
david loiseau,4,5,0,0,9
david michaud,1,2,0,0,3
david mitchell,1,4,0,0,5
david onama,5,2,0,0,7
david roberts,0,1,0,0,1
david terrell,2,1,0,0,3
david teymur,5,1,0,0,6
david velasquez,0,1,0,0,1
david zawada,1,4,0,0,5
dean barry,0,1,0,0,1
dean lister,4,2,0,0,6
deanna bennett,0,0,1,0,1
deiveson figueiredo,13,4,1,0,18
delson heleno,0,1,0,0,1
demetrious johnson,15,2,1,0,18
demian maia,22,11,0,0,33
denis kang,1,2,0,0,3
denis stojnic,0,2,0,0,2
denis tiuliulin,1,5,0,0,6
denise gomes,4,2,0,0,6
dennis bermudez,10,7,0,0,17
dennis buzukja,1,3,0,0,4
dennis hallman,4,5,0,0,9
dennis siver,12,8,0,1,21
denys bondar,0,3,0,0,3
dequan townsend,0,4,0,0,4
derek brunson,14,7,0,0,21
derek downey,0,1,0,0,1
deron winn,2,3,0,0,5
derrick krantz,0,2,0,0,2
derrick lewis,19,10,0,0,29
derrick noble,0,1,0,0,1
desmond green,4,3,0,0,7
devin clark,8,9,0,0,17
devin powell,1,3,0,0,4
devonte smith,3,3,0,0,6
dhiego lima,4,7,0,0,11
diana belbita,2,5,0,0,7
diego brandao,6,4,0,0,10
diego ferreira,10,5,0,0,15
diego lopes,5,1,0,0,6
diego nunes,3,3,0,0,6
diego rivas,2,2,0,0,4
diego sanchez,19,13,0,0,32
diego saraiva,0,3,0,0,3
dieusel berto,0,1,0,0,1
dileno lopes,0,2,0,0,2
din thomas,5,4,0,0,9
dione barbosa,1,1,0,0,2
dmitri stepanov,0,1,0,0,1
dmitrii smoliakov,0,3,0,0,3
dmitry sosnovskiy,1,0,0,0,1
dokonjonosuke mishima,0,2,0,0,2
domingo pilarte,0,2,0,1,3
dominic waters,0,3,0,0,3
dominick cruz,7,3,0,0,10
dominick reyes,8,4,0,0,12
dominique steele,1,4,0,0,5
don frye,9,1,0,0,10
don madge,2,0,0,0,2
don shainis,0,2,0,0,2
don'tale mayes,4,6,0,0,10
donald cerrone,23,14,0,1,38
