name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
bobby nash,,182.88,77.11,187.96,Orthodox,1990-03-26,0,3,0,0,3
roland delorme,,175.26,61.23,180.34,Orthodox,1983-12-18,3,3,0,1,7
myktybek orolbai,,177.8,77.11,187.96,Orthodox,1998-02-10,2,0,0,0,2
daniel barez,,167.64,56.7,167.64,Orthodox,1988-12-10,1,1,0,0,2
mateusz rebecki,,170.18,70.31,167.64,Southpaw,1992-11-03,3,1,0,0,4
miguel torres,,175.26,61.23,193.04,Orthodox,1981-01-18,2,2,0,0,4
george sotiropoulos,,177.8,70.31,180.34,Orthodox,1977-07-09,7,4,0,0,11
deiveson figueiredo,Deus da Guerra,165.1,61.23,172.72,Orthodox,1987-12-18,13,4,1,0,18
dan bobish,,187.96,156.49,,Southpaw,1970-01-26,1,1,0,0,2
chris wilson,The Professor,185.42,77.11,190.5,Orthodox,1977-06-07,1,3,0,0,4
jess liaudin,The Joker,175.26,77.11,182.88,Orthodox,,2,3,0,0,5
marcio cruz,Pe de Pano,193.04,105.23,,Orthodox,1978-04-24,2,2,0,0,4
paul craig,Bearjew,190.5,83.91,193.04,Orthodox,1987-11-27,9,9,1,0,19
neil seery,2Tap,162.56,56.7,162.56,Orthodox,1979-08-30,3,4,0,0,7
shane nelson,Sugar,175.26,70.31,177.8,Southpaw,1984-11-29,2,2,0,0,4
steven siler,Super,180.34,65.77,177.8,Orthodox,1987-02-15,5,4,0,0,9
bryce mitchell,Thug Nasty,177.8,65.77,177.8,Southpaw,1994-10-04,8,2,0,0,10
marcus mcghee,The Maniac,172.72,61.23,175.26,Orthodox,1990-05-07,4,0,0,0,4
eiji mitsuoka,,170.18,65.77,,Southpaw,1976-01-01,0,2,0,0,2
mayra bueno silva,Sheetara,167.64,61.23,167.64,Orthodox,1991-08-22,6,4,1,0,11
rafaello oliveira,Tractor,172.72,70.31,180.34,Orthodox,1982-01-26,2,6,0,0,8
