name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Carlo Pedersoli Jr.,Semento,180.34,77.11,190.5,Southpaw,1993-06-08
Matt Dixon,Magic,177.8,77.11,190.5,Switch,1995-10-09
Nursulton Ruziboev,Black,195.58,83.91,193.04,Orthodox,1993-11-19
Talita Nogueira,Treta,177.8,65.77,,,
Ketlen Souza,Esquentadinha,160.02,56.7,160.02,Orthodox,1994-08-18
Isao Kobayashi,,172.72,65.77,,,
Dakota Bush,,177.8,70.31,185.42,Orthodox,1994-06-09
Steven Graham,,185.42,131.54,,Orthodox,
Mizuki,,160.02,52.16,165.1,Orthodox,1994-08-19
Justin McCully,The Insane One,185.42,102.06,185.42,Orthodox,1976-02-18
Jose Alday,Pochito,170.18,61.23,172.72,Orthodox,1991-09-14
Gerard Gordeau,,195.58,97.98,,Orthodox,1959-03-30
Josh Shockman,The War Hammer,193.04,106.59,,Southpaw,1980-12-29
Rhys McKee,Skeletor,187.96,77.11,198.12,Orthodox,1995-09-10
Carter Williams,The Beast,185.42,120.2,,Orthodox,
Javy Ayala,Eye Candy,185.42,120.2,,,
Augusto Sakai,,190.5,120.2,195.58,Orthodox,1991-05-09
Jeff Cox,The Grinder,177.8,70.31,,Orthodox,1968-08-02
Jason Suttie,Nobunaga,182.88,95.25,,Orthodox,1973-08-07
Collin Anglin,,175.26,65.77,180.34,Orthodox,1993-02-20
Denis Sobolev,,190.5,97.98,,Orthodox,
Jin Oh Kim,,175.26,92.99,,Orthodox,
Adli Edwards,,,65.77,,,
Joshua Wang-Kim,Twin Dragon,175.26,61.23,180.34,Switch,1992-11-16
Elisha Helsper,Knuckles,167.64,61.23,,Orthodox,1983-02-06
Ryan Parker,,190.5,106.59,,Southpaw,
Billy Goff,,177.8,77.11,182.88,Switch,1998-06-18
Lu Zhengyong,,,56.7,,,
Jean Silva,White Bear,167.64,72.57,,Orthodox,1977-10-08
Wes Shivers,,203.2,,,,
Brandon Lewis,,162.56,61.23,177.8,Orthodox,1997-08-02
Josh Paiva,,167.64,56.7,,,
Issac DeJesus,,,65.77,,,
Filip Pejic,,172.72,61.23,,Orthodox,1992-07-21
Alex Reyes,The Executioner,180.34,70.31,185.42,Orthodox,1986-10-02
Mark Eddiva,,172.72,65.77,172.72,Orthodox,1986-02-16
Murad Chunkaiev,,180.34,83.91,,Orthodox,
Gilbert Aldana,El Peligro,185.42,113.4,,Orthodox,1977-08-25
Kelly Faszholz,,172.72,61.23,,Orthodox,1985-04-09
Ryan Bastianelli,Relentless,165.1,61.23,,,
Jinensibieke Asikeerbai,,167.64,70.31,175.26,Orthodox,1988-07-10
Nurullo Aliev,Tajik Eagle,177.8,70.31,182.88,Orthodox,2000-12-08
Danny Davis,,187.96,77.11,,,
Shin Haraguchi,,167.64,70.31,172.72,Switch,1998-11-27
John Matua,,187.96,181.44,,Orthodox,
Reza Nasri,,180.34,92.99,,Orthodox,
Aaron Trujillo,,165.1,56.7,,,
Atsushi Yamamoto,,167.64,63.05,,Orthodox,1980-10-02
Akira Kikuchi,,172.72,70.31,,Orthodox,1978-07-23
Marcelo Brito,Jungle Boy,185.42,77.11,,Orthodox,1977-11-27
Reese Andy,Riptide,182.88,92.99,,Orthodox,1973-03-31
Fredy Serrano,El Profe,160.02,56.7,165.1,Orthodox,1979-09-22
Daniel Gallemore,Big Kansas,195.58,120.2,,,
Gilbert Jimenez,,,70.31,,,
Alexander Poppeck,,187.96,92.99,,Orthodox,1992-04-06
Dillon Smith,,182.88,77.11,,,
Cesar Almeida,Cesinha,185.42,83.91,187.96,Orthodox,1988-03-28
Hugo Cunha,Silverback,193.04,113.4,,,
Jason McLean,,165.1,65.77,,,
Laverne Clark,,180.34,77.11,,Orthodox,1973-12-02
Adrienna Jenkins,AJ,172.72,65.77,,,
Val Woodburn,The Animal,172.72,83.91,187.96,Orthodox,1993-08-10
David Lee,,177.8,70.31,,Orthodox,
Fabio Mello,,165.1,70.31,,Southpaw,
Rosi Sexton,The Surgeon,160.02,61.23,,Orthodox,1977-07-16
Claudio Ribeiro,,185.42,83.91,195.58,Orthodox,1992-07-17
Dave Rickels,The Caveman,180.34,70.31,,,
Ben Reiter,The Hunter,190.5,83.91,,,
Ryan Madigan,,182.88,77.11,,Orthodox,
Joey Roberts,,187.96,90.72,,,
Felix Lee Mitchell,,,,,Orthodox,
Richie Smullen,,175.26,70.31,172.72,Orthodox,1991-08-17
Alberta Cerra Leon,,172.72,107.95,,,
Andrew Todhunter,The Sniper,182.88,83.91,,Switch,1987-11-30
Horacio Gutierrez,The Punisher,177.8,65.77,,,
Kolton Englund,White Assassin,177.8,70.31,175.26,Orthodox,1993-07-09
Wagner Silva,Wagnao,182.88,77.11,,Orthodox,1987-02-07
Kevin Knabjian,,177.8,77.11,,Orthodox,1984-07-05
Alonzo Martinez,Zo Diddy,177.8,70.31,,,
Taiyilake Nueraji,Super Saiyan,187.96,77.11,190.5,Southpaw,2001-01-12
Jorge Ortiz,The Naked Man,182.88,83.91,,Orthodox,
Mark Madsen,The Olympian,172.72,70.31,182.88,Orthodox,1984-09-23
Ahmad Hassanzada,Lion of the Ring,185.42,70.31,190.5,Orthodox,1996-11-20
Josh San Diego,JSD,177.8,61.23,,,
Eric Galvan,,,70.31,,,
Rafael Fiziev,Ataman,172.72,70.31,180.34,Switch,1993-03-05
Matt Pedro,,,,,,
JJ Okanovich,The Bosnian Bomber,180.34,70.31,193.04,Orthodox,1990-11-04
Abu Azaitar,Captain Morocco,175.26,83.91,193.04,Orthodox,1986-03-10
Ariel Gandulla,,180.34,92.99,,Orthodox,1968-05-07
Brandon Polcare,,,56.7,,,
Dave Courchaine,,172.72,77.11,,,
Johnny Rhodes,,182.88,95.25,,Orthodox,
Pat Benson,,175.26,70.31,,,
Vitaly Minakov,,187.96,112.94,,,
Byron Bloodworth,,172.72,61.23,,Orthodox,1983-08-16
Cameron VanCamp,Jumpman,187.96,70.31,187.96,Switch,1993-04-27
Ronald Carillo,,,56.7,,,
Steve White,,180.34,79.38,,,
Stephen Ledbetter,,175.26,65.77,,Orthodox,1982-06-30
Kengo Watanabe,,193.04,99.79,,Orthodox,1976-01-31
Augusto Mendes,Tanquinho,167.64,61.23,165.1,Orthodox,1983-03-03
Josh McDonald,,,83.91,,,
Ike Villanueva,Hurricane,185.42,92.99,185.42,Orthodox,1984-04-04
Kenji Arai,,177.8,65.77,,Southpaw,1979-10-05
Felipe Pena,Preguica,,,,,
Waachiim Spiritwolf,Native Warrior,172.72,77.11,,,
Norman Parke,Stormin',180.34,70.31,177.8,Southpaw,1986-12-22
Alan Baudot,The Black Samourai,190.5,110.22,200.66,Orthodox,1988-02-01
Guilherme Viana,,193.04,92.99,,,
Manuel Gaxhja,,172.72,70.31,,Switch,1997-07-23
Jairzinho Rozenstruik,Bigi Boy,187.96,109.77,198.12,Orthodox,1988-03-17
Tanner Boser,The Bulldozer,187.96,92.99,190.5,Orthodox,1991-08-02
Eldari Kurtanidze,,167.64,106.59,,Orthodox,1972-04-16
Jesus Pinedo,El Mudo,177.8,70.31,,Southpaw,1996-06-22
Mitch Raposo,,165.1,56.7,162.56,Switch,1998-10-16
Gary Frazier,,182.88,111.13,,Orthodox,
Francois Botha,White Buffalo,187.96,117.93,,Orthodox,1968-09-28
Todd Butler,,185.42,90.72,,Southpaw,
Kelly Kobold,Blood Red,167.64,61.23,,Orthodox,1983-02-25
John Lewis,,182.88,70.31,,Southpaw,
Andrew Ramm,The,185.42,72.57,,,
Ruben Villareal,Warpath,193.04,120.2,,Orthodox,1970-05-01
Doug Kay,,,,,,
David Smith,,,70.31,,,
Micheal Gillmore,The Gentleman,180.34,77.11,182.88,Orthodox,1987-03-28
Fabio Cherant,Water Buffalo,185.42,92.99,187.96,Southpaw,1994-11-25
Mayana Kellem,,165.1,61.23,,Orthodox,1981-07-07
Puja Tomar,The Cyclone,,52.16,,,
Elvis Mutapcic,The King,182.88,83.91,182.88,Orthodox,1986-07-19
Alexander Sarnavskiy,Tiger,180.34,70.31,,,
Joe Merritt,,182.88,77.11,,Orthodox,1984-03-07
Aliev Makhmud,,167.64,88.45,,Southpaw,1970-02-13
Brad Gumm,,180.34,77.11,,Orthodox,
Adrian Diaz,,177.8,65.77,,Southpaw,1988-04-26
Feng Pengchao,,,61.23,,,
Jordan Radev,,170.18,83.91,,Southpaw,1976-09-28
Tadao Yasuda,,193.04,140.61,,Orthodox,1963-10-09
Young Hwang,,175.26,61.23,,,
Xue Do Won,,170.18,74.84,,,
Drew Pendleton,,,65.77,,,
Matt Andersen,,187.96,104.33,,Southpaw,1971-05-29
Estefani Almeida,,162.56,56.7,,Orthodox,1988-10-17
Thomas Campbell,,,,,,
Kevin Roddy,K-Rod,180.34,65.77,,,
David Avellan,,175.26,83.91,,Orthodox,
Ashkan Mokhtarian,The Assassin,167.64,56.7,170.18,Southpaw,1985-09-15
Koyomi Matsushima,,170.18,65.77,167.64,Orthodox,1992-10-08
Marco Ruas,King of the Streets,185.42,95.25,,Orthodox,1961-01-23
Brett Rogers,The Grim,195.58,120.2,205.74,Orthodox,1981-02-17
Brianna Fortino,The Bull,152.4,52.16,157.48,Southpaw,1993-08-04
Devin Cole,,193.04,108.86,,Orthodox,1976-10-01
Ryan Stonitsch,,175.26,77.11,,Southpaw,1977-02-03
Rodney Faverus,,182.88,97.52,,Southpaw,
James Mulheron,,177.8,110.22,185.42,Orthodox,1988-02-20
Jonny Carson,,177.8,70.31,,,
Nick Hein,Sergeant,167.64,70.31,167.64,Southpaw,1984-04-24
Adam Hunter,Warhammer,185.42,83.91,,Orthodox,1983-10-16
Mark Cherico,The Pride of Bloomfield,170.18,65.77,175.26,Orthodox,1986-05-12
Nick Nolte,,182.88,77.11,,,
Kyu Sung Kim,,,56.7,,,
Gleristone Santos,Toninho Furia,175.26,65.77,,,
Emily Ducote,Gordinha,157.48,52.16,160.02,Orthodox,1994-01-01
Andy Waters,,182.88,77.11,,,
Jason Gilliam,,182.88,77.11,,Orthodox,
Johnny Cisneros,The Tattooed Terror,180.34,77.11,,,
Art Jimmerson,,185.42,88.9,,Orthodox,1963-08-04
Justin Hawes,The Hawk,180.34,92.99,,,
Art Santore,Pachuco,187.96,83.91,,,
Charlie Ward,,180.34,77.11,,Orthodox,1980-12-17
Jianping Yang,,170.18,65.77,,Orthodox,1988-11-27
Tony Halme,,190.5,136.08,,Orthodox,1963-01-06
Clint Hester,Headbussa,187.96,92.99,195.58,Orthodox,1986-11-21
Bas Rutten,El Guapo,185.42,92.99,,Orthodox,1965-02-24
Frank Camacho,The Crank,177.8,70.31,185.42,Orthodox,1989-05-18
Sheymon Moraes,,172.72,65.77,182.88,Orthodox,1990-10-11
Ian McCall,Uncle Creepy,165.1,56.7,162.56,Orthodox,1984-05-07
Jonathan Wilson,Johnny Bravo,187.96,92.99,190.5,Southpaw,1987-07-17
Julio Cesar Neves Jr.,Morceguinho,172.72,65.77,,,
Hisaki Kato,,182.88,83.91,,,
Karol Rosa,,165.1,61.23,170.18,Orthodox,1994-12-30
Bao Quach,,160.02,65.77,,Orthodox,1979-09-04
Alex Soto,Extremo,172.72,61.23,,Southpaw,1984-02-15
Richie Hightower,The Dirty Samurai,172.72,77.11,,Orthodox,1974-11-26
Chris Hawk,,185.42,92.99,,,
Fabio Aguiar,,182.88,83.91,,,
Salvador Woods,,180.34,77.11,,,
Terrence Mitchell,,177.8,61.23,187.96,Orthodox,1989-12-30
Thomas Paull,Juggernaut,170.18,70.31,170.18,Orthodox,1994-10-15
Paulo Costa,The Eraser,185.42,83.91,182.88,Orthodox,1991-04-21
Josh Bryant,The Beast,177.8,83.91,,Orthodox,1980-04-23
Ravena Oliveira,Kenoudy,165.1,61.23,165.1,Orthodox,1997-02-20
Ed Ratcliff,9mm,177.8,70.31,180.34,Orthodox,1983-03-05
Maheshate,,182.88,70.31,180.34,Orthodox,1999-12-01
Luke Jumeau,The Jedi,180.34,77.11,182.88,Orthodox,1988-02-12
Stephanie Webber,,167.64,61.23,,,
Bob Cook,Crazy,175.26,77.11,,Orthodox,
Alex Enlund,,177.8,65.77,,Orthodox,1987-05-27
Dariya Zheleznykova,,,61.23,,,
Davi Bittencourt,The Black,165.1,61.23,165.1,Orthodox,1994-10-12
Francimar Barroso,Bodao,185.42,92.99,190.5,Orthodox,1980-02-28
Abubakar Nurmagomedov,,180.34,77.11,182.88,Orthodox,1989-11-13
Kerry Schall,Meat Truck,187.96,120.2,,Orthodox,1971-08-09
Eddie Ruiz,,170.18,70.31,,Orthodox,1967-06-10
Raul Sandoval,,,58.97,,,
Justin Gaethje,The Highlight,180.34,70.31,177.8,Orthodox,1988-11-14
Daniel Acacio,,172.72,81.65,,Orthodox,1977-12-27
Greg Rebello,Ribz,182.88,108.86,185.42,Southpaw,1982-06-13
Andrey Koreshkov,Spartan,182.88,77.11,,,
Erik Silva,The King,175.26,65.77,180.34,Orthodox,1987-03-16
Geza Kalman,,185.42,90.72,,,
Sean Gannon,The Cannon,190.5,120.2,,Southpaw,
Dustin Moore,,162.56,56.7,,,
Cesar Marscucci,,,,,,
Wayne Phillips,,,83.91,,,
Jennifer Gonzalez,Jefa,157.48,56.7,,,
Ryan MacDonald,Main Event,180.34,61.23,180.34,Switch,1993-03-18
Izabela Badurek,,165.1,52.16,,Orthodox,1991-07-11
Alavutdin Gadjiev,,187.96,83.91,,Orthodox,1982-06-23
Zviad Lazishvili,,167.64,61.23,175.26,Orthodox,1991-10-25
Scott McAfee,,172.72,70.31,,Orthodox,1983-08-23
Cameron Smotherman,The Baby-Faced Killa,175.26,61.23,175.26,Orthodox,1997-09-17
Rafael Carvalho,,190.5,83.91,,,
Chris Hofmann,,182.88,77.11,182.88,Orthodox,1989-11-18
Jaimelene Nievera,Queenie,165.1,56.7,,Orthodox,1984-10-28
Brandon Magana,,,77.11,,Orthodox,
Jaime Alvarez,,172.72,56.7,175.26,Orthodox,1988-03-08
Emanuel Newton,The Hardcore Kid,185.42,92.99,,,
Gary Mangat,,170.18,61.23,,,
Steve Kozola,,,70.31,,,
Shonte Barnes,Shyne,180.34,83.91,193.04,Southpaw,1987-02-09
Jesse Juarez,,185.42,77.11,,Orthodox,1981-05-08
Brendon Marotte,The Kid,175.26,70.31,177.8,Orthodox,1996-01-12
Yuji Nagata,,182.88,102.06,,Orthodox,1968-04-24
Alton Cunningham,The Bo-Man,187.96,92.99,195.58,Orthodox,1993-06-24
Nikolay Veretennikov,,185.42,77.11,187.96,Orthodox,1989-12-22
Chad Johnson,Big Rigg,187.96,104.33,203.2,Orthodox,1986-07-22
Marcus Brimage,The Bama Beast,162.56,61.23,180.34,Southpaw,1985-04-06
Jared Papazian,The Jackhammer,172.72,61.23,170.18,Southpaw,1988-02-01
Matheus Scheffel,Buffa,187.96,92.99,190.5,Orthodox,1992-11-04
Scott Bessac,,193.04,111.13,,,
Yuki Ishikawa,,180.34,92.99,,Orthodox,
Julie Kedzie,,165.1,61.23,,Orthodox,1981-03-18
Dennis Dombrow,,,65.77,,,
Tulio Palhares,,,81.65,,,
Peter Petties,The Joker,180.34,65.77,182.88,Southpaw,1990-12-20
Jake Hecht,Hitman,182.88,77.11,185.42,Orthodox,1984-02-09
Bobby Stack,,175.26,70.31,,Orthodox,
Henrique Shiguemoto,,180.34,83.91,182.88,Orthodox,1989-06-22
Eun Soo Lee,,185.42,97.52,,Orthodox,1982-03-07
Bristol Marunde,,185.42,77.11,190.5,Orthodox,1982-04-20
Ivan Shtyrkov,Ural Hulk,182.88,92.99,187.96,Orthodox,1988-06-09
Emilio Chavez,,175.26,65.77,,,
Edward Faaloloto,,,70.31,177.8,Orthodox,1984-07-15
Brian McLaughlin,,175.26,70.31,,,
Adam Smith,,,,,,
Carina Damm,Beauty But the Beast,162.56,61.23,,,
Minoru Toyonaga,,180.34,88.45,,Southpaw,
Wataru Sakata,,175.26,88.45,,Southpaw,1973-03-11
Victor Madrigal,Periquito,170.18,61.23,180.34,Orthodox,1990-08-16
Ray Steinbeiss,Ipswitch Cobra,180.34,77.11,,Orthodox,1979-09-12
Stipe Miocic,,193.04,108.86,203.2,Orthodox,1982-08-19
CJ Fernandes,,187.96,77.11,,,
Joe Benoit,,175.26,77.11,,Orthodox,1982-03-12
Ken Cross,The Boss,182.88,70.31,182.88,Southpaw,1994-10-04
Nordine Taleb,,185.42,77.11,187.96,Orthodox,1981-06-10
Tomohiko Hashimoto,,182.88,113.4,,Orthodox,
Ronald Jhun,The Machine Gun,180.34,77.11,,Orthodox,1970-09-21
Akira Corassani,,172.72,65.77,172.72,Orthodox,1982-08-27
Caros Fodor,The Future,175.26,70.31,187.96,Orthodox,1984-01-07
Pedro Rocha,,,,,,
Mario Piazzon,,175.26,120.2,185.42,Orthodox,1998-04-06
Besam Yousef,,180.34,77.11,,Orthodox,1985-03-25
Willie Peeters,,175.26,99.79,,Orthodox,1965-10-26
Marco Polo Reyes,,180.34,70.31,180.34,Orthodox,1984-11-07
Oleksandr Doskalchuk,,167.64,56.7,,Southpaw,1990-03-13
Amir Rahnavardi,,182.88,92.99,,Orthodox,1974-12-07
Shonie Carter,Mr. International,177.8,77.11,,Southpaw,1972-05-03
John Kuhner,,,77.11,,,
Jack Morrison,,180.34,92.99,,,
Carl Toomey,,,,,,
Deron Winn,,167.64,83.91,177.8,Orthodox,1989-06-13
Hailey Cowan,All Hail,172.72,61.23,170.18,Southpaw,1992-02-12
Chris Bostick,,,,,,
Ernie Verdicia,,180.34,90.26,,Orthodox,
Paul Rodriguez,,170.18,70.31,,Orthodox,
Mal Foki,Twin Tiger,170.18,99.79,,Orthodox,
Grigory Popov,,170.18,61.23,172.72,Switch,1984-04-18
Kevin Vallejos,El Chino,170.18,65.77,172.72,Switch,2001-12-08
Taylor Callens,,177.8,70.31,,,
Roger Hollett,The Hulk,180.34,92.99,,Orthodox,1978-10-08
Eduardo Bustillos,,172.72,61.23,,,
So Yul Kim,,,52.16,,,
Russell Patrick,,175.26,65.77,,,
Thanh Le,,175.26,65.77,187.96,Orthodox,1985-08-28
Pedro Otavio,Te Pedro,190.5,111.13,,Orthodox,
Ricardo Funch,Golden Boy,177.8,77.11,187.96,Southpaw,1980-08-14
Jesse Moreng,Arturo,170.18,65.77,,Orthodox,1979-11-09
Mikey Burnett,The Eastside Assassin,167.64,77.11,,Orthodox,1974-04-12
Brandon Gaines,,190.5,83.91,,,
Jesse Bongfeldt,Water,182.88,83.91,,Orthodox,1980-08-28
Rongzhu,,175.26,70.31,182.88,Orthodox,2000-03-07
Nick Roehrick,,187.96,92.99,,Orthodox,1987-07-06
Karl Reed,No Worries,190.5,92.99,198.12,Orthodox,1988-10-27
John Hosman,,177.8,61.23,,Southpaw,1980-11-13
Takenori Sato,,177.8,77.11,,Southpaw,1985-06-08
Damian Grabowski,The Polish Pitbull,185.42,109.32,190.5,Orthodox,1980-05-12
Dan Manasoiu,,,,,,
Shamar Bailey,,175.26,70.31,190.5,Southpaw,1982-09-22
Francesco Maturi,,,,,,
Pedro Rizzo,The Rock,185.42,109.32,,Orthodox,1974-05-03
Paul Bradley,The Gentleman,175.26,77.11,,Orthodox,1983-06-13
Nolan Ticman,,167.64,56.7,,Orthodox,1988-05-17
David Barrios,,167.64,65.77,,,
Justin Salas,J-Bomb,172.72,70.31,177.8,Southpaw,1982-03-13
Scott Lighty,,187.96,92.99,,,
Hussain Rasouli,,167.64,61.23,,,
Ericka Almeida,,167.64,52.16,,Orthodox,1989-03-05
Hiroyuki Takaya,Streetfight Bancho,167.64,63.05,,Orthodox,1977-06-10
Rico DiSciullo,,172.72,61.23,,Orthodox,1986-10-12
Phil Johns,,157.48,77.11,,Southpaw,1968-10-22
Chuck O'Neil,Cold Steel,187.96,77.11,,,
Willie Parks,Slick,177.8,83.91,,,
Kevin Borjas,El Gallo Negro,165.1,56.7,172.72,Orthodox,1997-12-06
Jhonata Silva,,165.1,56.7,167.64,Orthodox,1997-04-24
Stephen Thompson,Wonderboy,182.88,77.11,190.5,Orthodox,1983-02-11
Humberto Brown Morrison,,177.8,65.77,,,
Fernando Bettega,,,77.11,,,
Gabriel Salinas-Jones,,185.42,111.13,,,
Maurice Eazel,,170.18,61.23,,,
Anthony Romero,The Genius,180.34,70.31,177.8,Orthodox,1997-02-25
Bruno Souza,The Tiger,177.8,65.77,177.8,Orthodox,1996-03-07
Jair Farias,Chosen,185.42,65.77,193.04,Orthodox,1993-03-16
Scott Adams,,182.88,102.06,,Southpaw,
Jared Cannonier,The Killa Gorilla,180.34,83.91,195.58,Switch,1984-03-16
Clay French,,170.18,73.03,,Southpaw,1980-10-07
Antonio Dos Santos,Junior Alpha,177.8,83.91,,Orthodox,1988-07-21
Yoko Takahashi,,172.72,68.04,,,
Charlie Brenneman,The Spaniard,177.8,70.31,177.8,Orthodox,1981-02-09
Yurij Kiseliov,Playboy,172.72,83.91,,Orthodox,
Ramona Pascual,,170.18,61.23,167.64,Southpaw,1988-09-23
Marcos da Matta,Parrumpinha,162.56,65.77,,,
Mickael Lebout,Ragnar,180.34,70.31,185.42,Orthodox,1987-08-16
Joao Roque,,167.64,70.31,,Orthodox,1971-07-22
Tony Juarez,,,70.31,,,
Chatt Lavender,,172.72,77.11,,,
Andrew Sanchez,El Dirte,185.42,83.91,187.96,Orthodox,1988-04-08
Fiona Muxlow,,162.56,65.77,,,
Arman Tsarukyan,Ahalkalakets,170.18,70.31,182.88,Orthodox,1996-10-11
Randy Costa,The Zohan,175.26,61.23,185.42,Switch,1994-07-06
Collin Hart,,185.42,83.91,,Orthodox,1989-10-12
Rayanne Amanda,,157.48,52.16,157.48,Orthodox,1995-06-08
Luciano Azevedo,,190.5,73.03,,Orthodox,1981-06-25
Kyle Driscoll,KD,180.34,65.77,187.96,Orthodox,1994-09-23
Jasmine Jasudavicius,,170.18,56.7,172.72,Orthodox,1989-03-01
Don Carlo-Clauss,,,77.11,,,
Victor Dias,Crazy Horse,167.64,56.7,175.26,Orthodox,1990-12-26
Keiichiro Yamamiya,,180.34,83.91,,Southpaw,1972-07-12
Milana Dudieva,,160.02,61.23,,Orthodox,1989-08-04
Icho Larenas,,190.5,106.59,,Orthodox,1980-03-12
Dan O'Connor,Johnny Irish,162.56,52.16,,,
Nikolajus Cilkinas,,,,,Orthodox,
Yuki Sasaki,,187.96,83.91,,Orthodox,1976-09-12
Damir Mirenic,Wolf,182.88,83.91,,Orthodox,1974-08-02
Dinis Paiva Jr.,Sweetbread,175.26,65.77,180.34,Southpaw,1988-05-26
Steve Mensing,The Machine,180.34,83.91,,Orthodox,1977-12-06
Sean Daugherty,,182.88,79.38,,,
Nasrudin Nasrudinov,,182.88,92.99,180.34,Orthodox,1991-10-06
Greg Wilson,,,70.31,,,
Junior Albini,Baby,190.5,119.75,187.96,Orthodox,1991-03-15
Alex Higley,,177.8,65.77,,,
Nick Ertl,,175.26,70.31,,,
John Salgado,Greco,177.8,77.11,,,
Ray Routh,,172.72,83.91,,Orthodox,
Josh Burns,The Hammer,185.42,110.68,,,
Patrick Smith,,187.96,102.06,,Orthodox,1963-08-28
Kyle Kingsbury,Kingsbu,193.04,92.99,200.66,Orthodox,1982-03-22
Jason DeLucia,,180.34,86.18,,Southpaw,1969-07-24
Douglas Lima,The Phenom,185.42,77.11,,,
Bruno Korea,,167.64,61.23,165.1,,
Kerry Vera,,170.18,61.23,,Orthodox,
Josh Pulsifer,The Platypus,177.8,65.77,,,
Mark Climaco,,162.56,56.7,165.1,Southpaw,1997-11-06
Ismael Bonfim,Marreta,172.72,70.31,180.34,Orthodox,1995-12-28
Jesse Murray,Hollywood,190.5,92.99,198.12,Orthodox,1993-01-26
Gilles Arsene,,175.26,86.18,,Southpaw,
Steve Judson,,180.34,104.33,,Orthodox,
Chibwikem Onyenegecha,,190.5,83.91,,Orthodox,1994-04-18
Jonathan Rivera,,,70.31,,,
Haven Torres,,,56.7,,,
Chris Solomon,,180.34,70.31,,,
Santiago Ponzinibbio,Argentine Dagger,182.88,77.11,185.42,Orthodox,1986-09-26
Robert Densley,The Wrecker,175.26,70.31,,,
Rashard Lovelace,,,70.31,,,
Leon Aliu,The Albanian Lion,182.88,83.91,187.96,Orthodox,1989-07-14
Michel Batista,,190.5,117.93,,Orthodox,1984-04-20
Dustin Joynson,,198.12,110.68,198.12,Orthodox,1985-10-14
Dong Hyun Ma,Maestro,180.34,70.31,177.8,Orthodox,1988-09-09
Marc Cofer,,,83.91,,,
Joe Pardo,,185.42,95.25,,Southpaw,
Dhafir Harris,Dada 5000,,116.57,,,
Karine Gevorgyan,The Princess,162.56,56.7,160.02,,
Nick Pica,The Silverback,177.8,83.91,,,
Gennaro Strangis,,,,,,
Rony Sefo,,175.26,102.06,,Orthodox,
Yan Xiaonan,,165.1,52.16,160.02,Orthodox,1989-06-16
Gabe Ruediger,Godzilla,177.8,70.31,,Orthodox,1977-08-29
Logan Urban,Hulk,182.88,77.11,182.88,Orthodox,1994-04-22
TJ Hepburn,The Carnivore,170.18,70.31,,,
Daniel Pereira,Gaucho,177.8,83.91,,,
Johnny Rees,The Hater Hurter,182.88,77.11,,Orthodox,1982-10-21
Dwayne Cason,,177.8,96.16,,Orthodox,
Josiane Nunes,Josi,157.48,65.77,170.18,Southpaw,1993-12-23
Danny Chavez,The Colombian Warrior,172.72,65.77,170.18,Orthodox,1987-03-14
Marcio Navarro,The Locomotive,182.88,70.31,,,
Ulysses Gomez,Useless,167.64,56.7,,Orthodox,1983-05-25
Rostem Akman,,177.8,77.11,182.88,Switch,1991-12-19
Maria Rios,,165.1,56.7,,,
Oron Kahlon,,172.72,61.23,177.8,Orthodox,1984-11-04
Rodrigo Lidio,Dynamis,180.34,70.31,185.42,Orthodox,1989-07-07
Jacob Silva,Lil Animal,165.1,56.7,170.18,Orthodox,1988-02-23
Rudy Bears,,180.34,77.11,,Southpaw,
Jacob Noe,Psycho,,92.99,,,
Anying Wang,,182.88,77.11,,Orthodox,1991-04-04
Jerome Rivera,Renegade,177.8,56.7,182.88,Southpaw,1995-04-22
Michael Kuiper,,182.88,83.91,185.42,Orthodox,1989-06-07
Sherrard Blackledge,The Thriller,180.34,70.31,190.5,Orthodox,1993-08-16
Teddy Ash,Bear,185.42,83.91,185.42,Switch,1989-12-27
Brogan Walker,The Bear,162.56,56.7,170.18,Switch,1988-08-02
Ryan Roberts,,167.64,70.31,,Orthodox,1978-07-16
Carlos Vera,Pequeno,,61.23,,,
Brandon Wolff,,175.26,77.11,,Orthodox,1975-10-18
Bruna Brasil,,167.64,52.16,165.1,Orthodox,1993-09-07
Eduardo Pamplona,,180.34,77.11,,,
Ray Wizard,,,,,,
Ty Flores,Big Medicine,190.5,92.99,185.42,Switch,1993-12-22
John Kelly,,175.26,77.11,,,
Anton Turkalj,The Pleasure Man,193.04,92.99,198.12,Orthodox,1996-06-10
Jimmy Lawson,Greedy,182.88,120.2,195.58,Orthodox,1991-11-13
Carls John De Tomas,,165.1,56.7,180.34,Southpaw,1996-08-28
Yazan Hajeh,Yazzle Dazzle,175.26,65.77,,Orthodox,1992-09-04
Richard Dalton,,185.42,92.99,,Orthodox,
Paulo Renato Junior,,182.88,92.99,185.42,Orthodox,1994-01-25
Ricky Calatayud,,175.26,56.7,,,
Raou Raou,,172.72,88.45,,Orthodox,
David Roberts,,185.42,77.11,,Orthodox,1975-11-15
Alberto Montes,The Promise,170.18,61.23,,,
Cody Floyd,,,,,,
Fellipe Andrew,,,,,,
Colin Fletcher,The Freakshow,187.96,70.31,,Orthodox,1983-01-08
Karla Benitez,,160.02,51.26,,,
Torrance Taylor,,170.18,70.31,,,
Nate Schroeder,,185.42,104.33,,,
Shane Young,Smokin',172.72,65.77,182.88,Orthodox,1993-07-31
