name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Jafel Filho,Pastor,170.18,56.7,172.72,Orthodox,1993-05-05
Mark Scanlon,,175.26,77.11,,Orthodox,
Eric Esch,Butterbean,180.34,158.76,,Orthodox,1968-08-03
Chris Tickle,BadBoy,175.26,70.31,,,
Ivana Petrovic,,172.72,56.7,177.8,Southpaw,1994-06-11
Kazuki Okubo,,180.34,79.38,,Orthodox,
Abdul-Kerim Edilov,,187.96,92.99,,Orthodox,1991-11-25
Eddy Ellis,Fast,175.26,77.11,,Orthodox,
Jason MacDonald,The Athlete,190.5,83.91,203.2,Orthodox,1975-06-03
Micah Miller,Maverick,182.88,65.77,,Orthodox,1987-02-14
Allan Begosso,Mini,165.1,61.23,167.64,Orthodox,1995-11-23
Yuma Horiuchi,Ichiban,167.64,56.7,170.18,Switch,1997-09-22
John Gunderson,Quick Guns,175.26,70.31,175.26,Orthodox,1979-01-05
Chris Haseman,The Hammer,180.34,92.99,,Orthodox,1969-06-02
Josh Smith,,182.88,70.31,,Orthodox,1982-07-02
Martin Kampmann,The Hitman,182.88,77.11,182.88,Orthodox,1982-04-17
Frank Mir,,190.5,119.75,200.66,Southpaw,1979-05-24
Mitch Gagnon,,165.1,61.23,165.1,Southpaw,1984-10-10
Lucio Linhares,,187.96,83.91,,Orthodox,1973-12-08
Roger Gracie,,193.04,83.91,200.66,Orthodox,1981-09-26
Saidyokub Kakhramonov,,172.72,61.23,175.26,Orthodox,1995-11-14
Mickey Gall,,187.96,77.11,187.96,Switch,1992-01-22
Joe Soto,One Bad Mofo,167.64,61.23,165.1,Orthodox,1987-03-22
Austin Vanderford,AK-47,180.34,77.11,,Orthodox,1990-03-21
Pat Sabatini,,172.72,65.77,177.8,Orthodox,1990-11-09
Jessamyn Duke,The Gun,180.34,61.23,185.42,Orthodox,1986-06-24
Ryan Jensen,,185.42,83.91,193.04,Orthodox,1977-09-20
Roman Mitichyan,,177.8,77.11,,Orthodox,1978-09-04
Georgi Karakhanyan,Insane,172.72,65.77,,,
Brad Mitchell,,180.34,65.77,,,
Ikuhisa Minowa,Minowaman,175.26,82.1,,Orthodox,1976-01-12
Joachim Hansen,Hellboy,170.18,68.04,,Southpaw,1979-05-26
Jordan Griffin,Native Psycho,177.8,65.77,185.42,Southpaw,1990-02-28
Jon Delos Reyes,The Heat,167.64,56.7,170.18,Orthodox,1987-08-19
Luke Stewart,,180.34,77.11,,Orthodox,
Vagner Rocha,Ceara,177.8,70.31,185.42,Orthodox,1982-06-06
Kyle Daukaus,,190.5,83.91,193.04,Southpaw,1993-02-27
Fedor Emelianenko,The Last Emperor,182.88,104.33,187.96,Orthodox,1976-09-28
Stephen Banaszak,,182.88,65.77,,,
Rani Yahya,,167.64,61.23,170.18,Orthodox,1984-09-12
Erick Wanderlei,,185.42,92.99,,Orthodox,
Shane Roller,,177.8,70.31,182.88,Orthodox,1979-07-14
Aleksei Oleinik,The Boa Constrictor,187.96,108.86,203.2,Orthodox,1977-06-20
Ryan Quinn,,172.72,65.77,,,
Keisuke Sasu,Sasuke,165.1,65.77,175.26,Switch,1994-09-30
Don Shainis,Shameless,167.64,65.77,170.18,Orthodox,1990-09-16
Dan Argueta,The Determined,170.18,61.23,172.72,Southpaw,1993-08-13
Jeremy  Freitag,,185.42,92.99,,,
Raul Rosas Jr.,El Nino Problema,175.26,61.23,170.18,Switch,2004-10-08
Rodolfo Marques Diniz,,167.64,61.23,,,
Miguel Baeza,Caramel Thunder,187.96,77.11,187.96,Orthodox,1992-08-23
Joe Proctor,,177.8,70.31,182.88,Orthodox,1985-08-10
Luc Bondole,,187.96,92.99,,,
Amanda Cooper,ABC,160.02,52.16,162.56,Switch,1991-10-22
Juliana Miller,Killer,170.18,56.7,167.64,Orthodox,1996-05-07
Louis Smolka,Da Last Samurai,175.26,61.23,172.72,Orthodox,1991-07-16
Assuerio Silva,,177.8,109.32,,Orthodox,1974-06-18
Johnny Munoz,Kid Kvenbo,175.26,61.23,180.34,Orthodox,1993-02-16
Jake Rosholt,,185.42,83.91,,Orthodox,1982-02-09
Sanae Kikuta,,175.26,90.72,,Orthodox,1971-09-10
Eric Schafer,Red,190.5,83.91,193.04,Orthodox,1977-09-20
Dan Miller,,185.42,83.91,187.96,Orthodox,1981-06-30
Jim Miller,A-10,172.72,70.31,180.34,Southpaw,1983-08-30
Jesus Aguilar,,162.56,56.7,157.48,Orthodox,1996-03-13
Alex Serdyukov,The Russian Crusher,187.96,77.11,187.96,Orthodox,1980-05-24
Brian Foster,The Foster Boy,175.26,77.11,180.34,Orthodox,1984-04-03
Lee Murray,Lightning,190.5,83.91,,Orthodox,1977-09-12
Blas Avena,The Disciple,182.88,77.11,187.96,Orthodox,1983-06-30
Joe Pyfer,Bodybagz,187.96,83.91,190.5,Orthodox,1996-09-17
Sam Spengler,The Ram,180.34,83.91,,Orthodox,
Cole Miller,Magrinho,185.42,65.77,185.42,Orthodox,1984-04-26
Casey Olson,The Underdog,170.18,65.77,,Orthodox,
Daniel Pineda,The Pit,170.18,65.77,175.26,Orthodox,1985-08-06
Kendall Grove,Da Spyder,198.12,83.91,200.66,Orthodox,1982-11-12
Danillo Villefort,Indio,185.42,83.91,,Orthodox,1983-05-08
Karlos Vemola,,182.88,83.91,190.5,Orthodox,1985-07-03
Jose Palacios,,175.26,65.77,,Orthodox,
Cristina Stanciu,Barbie,160.02,52.16,,Orthodox,1994-03-29
Tom Aspinall,,195.58,116.12,198.12,Orthodox,1993-04-11
Dean Hancock,The Hammer,,70.31,,,
Nassourdine Imavov,,190.5,83.91,190.5,Orthodox,1995-03-01
Roman Dolidze,,187.96,83.91,193.04,Orthodox,1988-07-15
Brendan Allen,All In,187.96,83.91,190.5,Orthodox,1995-12-28
Steve Berger,The Red Nosed Pitbull,180.34,77.11,,Orthodox,1973-05-20
David Zawada,Sagat,182.88,77.11,190.5,Orthodox,1990-08-01
Kin Moy,Kong,165.1,61.23,,,
Erisson Ferreira,Gato,167.64,56.7,177.8,Orthodox,1991-05-03
Billy Giovanella,Wolverine,172.72,56.7,,,
Charlene Gellner,Princess,157.48,56.7,,,
Stefan Struve,Skyscraper,210.82,120.2,213.36,Orthodox,1988-02-18
Donny Walker,Eagle Eye,175.26,61.23,,,
Jason Knight,The Kid,177.8,65.77,180.34,Orthodox,1992-07-14
Cole Smith,The Cole Train,180.34,61.23,170.18,Orthodox,1989-04-05
Misha Cirkunov,,190.5,92.99,195.58,Orthodox,1987-02-27
