EVENT,BOUT,OUTCOME,ROUND,TIME,TIME FORMAT,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc fight night: magny vs. prates,elizeu zaleski dos santos vs. zachary scroggin,W/L,1,75,3 Rnd (5-5-5),elizeu zaleski dos santos,zachary scroggin,3.0,5,0.0,0,0,0,welterweight,1,0,0,5,2024-11-09,"las vegas, nevada, usa",75
ufc fight night: magny vs. prates,charles radtke vs. matthew semelsberger,L/W,1,51,3 Rnd (5-5-5),matthew semelsberger,charles radtke,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,2024-11-09,"las vegas, nevada, usa",51
ufc fight night: magny vs. prates,cody stamann vs. da'mon blackshear,L/W,1,259,3 Rnd (5-5-5),cody stamann,da'mon blackshear,3.0,5,0.0,0,0,0,bantamweight,0,1,1,2,2024-11-09,"las vegas, nevada, usa",259
ufc fight night: magny vs. prates,antonio trocoli vs. tresean gore,W/L,1,83,3 Rnd (5-5-5),tresean gore,antonio trocoli,3.0,5,0.0,0,0,0,middleweight,1,0,1,6,2024-11-09,"las vegas, nevada, usa",83
ufc fight night: magny vs. prates,klaudia sygula vs. melissa mullins,W/L,2,80,3 Rnd (5-5-5),melissa mullins,klaudia sygula,3.0,5,0.0,0,1,0,bantamweight,1,0,0,2,2024-11-09,"las vegas, nevada, usa",380
ufc fight night: moreno vs. albazi,amir albazi vs. brandon moreno,W/L,5,300,5 Rnd (5-5-5-5-5),brandon moreno,amir albazi,5.0,5,0.0,0,0,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",1500
ufc fight night: moreno vs. albazi,erin blanchfield vs. rose namajunas,W/L,5,300,5 Rnd (5-5-5-5-5),erin blanchfield,rose namajunas,5.0,5,0.0,0,1,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",1500
ufc fight night: moreno vs. albazi,brendson ribeiro vs. caio machado,L/W,3,300,3 Rnd (5-5-5),caio machado,brendson ribeiro,3.0,5,0.0,0,0,0,light heavyweight,0,1,2,7,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,ariane da silva vs. jasmine jasudavicius,L/W,3,148,3 Rnd (5-5-5),ariane da silva,jasmine jasudavicius,3.0,5,0.0,0,1,0,flyweight,0,1,1,1,2024-11-02,"edmonton, alberta, canada",748
ufc fight night: moreno vs. albazi,dustin stoltzfus vs. marc-andre barriault,L/W,1,268,3 Rnd (5-5-5),marc-andre barriault,dustin stoltzfus,3.0,5,0.0,0,0,0,middleweight,0,1,0,6,2024-11-02,"edmonton, alberta, canada",268
ufc fight night: moreno vs. albazi,mike malott vs. trevin giles,W/L,3,300,3 Rnd (5-5-5),mike malott,trevin giles,3.0,5,0.0,0,0,0,welterweight,1,0,2,5,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,aiemann zahabi vs. pedro munhoz,W/L,3,300,3 Rnd (5-5-5),aiemann zahabi,pedro munhoz,3.0,5,0.0,0,0,0,bantamweight,1,0,2,2,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,charles jourdain vs. victor henry,W/L,2,223,3 Rnd (5-5-5),charles jourdain,victor henry,3.0,5,0.0,0,0,0,bantamweight,1,0,1,2,2024-11-02,"edmonton, alberta, canada",523
ufc fight night: moreno vs. albazi,jack shore vs. youssef zalal,L/W,2,59,3 Rnd (5-5-5),jack shore,youssef zalal,3.0,5,0.0,0,0,0,featherweight,0,1,1,3,2024-11-02,"edmonton, alberta, canada",359
ufc fight night: moreno vs. albazi,alexandr romanov vs. rodrigo nascimento,W/L,3,300,3 Rnd (5-5-5),alexandr romanov,rodrigo nascimento,3.0,5,0.0,0,0,0,heavyweight,1,0,2,8,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,garrett armfield vs. serhiy sidey,W/L,3,300,3 Rnd (5-5-5),serhiy sidey,garrett armfield,3.0,5,0.0,0,0,0,bantamweight,1,0,2,2,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,chad anheliger vs. cody gibson,L/W,3,300,3 Rnd (5-5-5),chad anheliger,cody gibson,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: moreno vs. albazi,ivana petrovic vs. jamey-lyn horth,W/L,3,300,3 Rnd (5-5-5),jamey-lyn horth,ivana petrovic,3.0,5,0.0,0,1,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",900
ufc fight night: hernandez vs. pereira,anthony hernandez vs. michel pereira,W/L,5,142,5 Rnd (5-5-5-5-5),anthony hernandez,michel pereira,5.0,5,0.0,0,0,0,middleweight,1,0,0,6,2024-10-19,"las vegas, nevada, usa",1342
ufc fight night: hernandez vs. pereira,kyler phillips vs. rob font,W/L,3,300,3 Rnd (5-5-5),rob font,kyler phillips,3.0,5,0.0,0,0,0,bantamweight,1,0,2,2,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,charles johnson vs. sumudaerji,W/L,3,300,3 Rnd (5-5-5),charles johnson,sumudaerji,3.0,5,0.0,0,0,0,flyweight,1,0,2,1,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,cameron smotherman vs. jake hadley,L/W,3,300,3 Rnd (5-5-5),jake hadley,cameron smotherman,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,daniel pineda vs. darren elkins,W/L,3,300,3 Rnd (5-5-5),darren elkins,daniel pineda,3.0,5,0.0,0,0,0,featherweight,1,0,2,3,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,asu almabayev vs. matheus nicolau,L/W,3,300,3 Rnd (5-5-5),matheus nicolau,asu almabayev,3.0,5,0.0,0,0,0,flyweight,0,1,2,1,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,brad katona vs. jean matsumoto,L/W,3,300,3 Rnd (5-5-5),brad katona,jean matsumoto,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,joselyne edwards vs. tamires vidal,W/L,3,273,3 Rnd (5-5-5),joselyne edwards,tamires vidal,3.0,5,0.0,0,1,0,bantamweight,1,0,1,2,2024-10-19,"las vegas, nevada, usa",873
ufc fight night: hernandez vs. pereira,elise reed vs. jessica penne,L/W,3,300,3 Rnd (5-5-5),jessica penne,elise reed,3.0,5,0.0,0,1,0,strawweight,0,1,2,0,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,alice ardelean vs. melissa martinez,W/L,3,300,3 Rnd (5-5-5),melissa martinez,alice ardelean,3.0,5,0.0,0,1,0,strawweight,1,0,2,0,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: hernandez vs. pereira,austen lane vs. robelis despaigne,W/L,3,300,3 Rnd (5-5-5),austen lane,robelis despaigne,3.0,5,0.0,0,0,0,heavyweight,1,0,2,8,2024-10-19,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,brandon royval vs. tatsuro taira,W/L,5,300,5 Rnd (5-5-5-5-5),brandon royval,tatsuro taira,5.0,5,0.0,0,0,0,flyweight,1,0,2,1,2024-10-12,"las vegas, nevada, usa",1500
ufc fight night: royval vs. taira,brad tavares vs. junyong park,L/W,3,300,3 Rnd (5-5-5),brad tavares,junyong park,3.0,5,0.0,0,0,0,middleweight,0,1,2,6,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,chidi njokuani vs. jared gooden,W/L,3,300,3 Rnd (5-5-5),chidi njokuani,jared gooden,3.0,5,0.0,0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,grant dawson vs. rafa garcia,W/L,2,102,3 Rnd (5-5-5),grant dawson,rafa garcia,3.0,5,0.0,0,0,0,lightweight,1,0,0,4,2024-10-12,"las vegas, nevada, usa",402
