Name,Nickname,Weight_Class,Knockouts,Submissions,First_Round_Finishes,Striking_Accuracy,Takedown_Accuracy,Sig_Str_Attempted Total,Takedowns_Landed_Total,Takedowns_Attempted_Total,Sig_Strikes_Per Min,Takedown_Avg_Per Min,Sig_Str_Def,Knockdown_Avg,Sig_Strikes_Absorbed_Per_Min,Sub_Avg_Per_Min,Takedown_Def,Avg_Fight_Time,Place_of_Birth,Octagon_Debut,Wins,Losses,Draws,Sig_Str_Landed Total_Total,Sig_Str_Landed Total_Percent,Sig_Strikes_While_Clinched_Total,Sig_Strikes_While_Clinched_Percent,Sig_Strikes_While_Standing_Total,Sig_Strikes_While_Standing_Percent,Sig_Strikes_While_Grounded_Total,Sig_Strikes_While_Grounded_Percent,Sig_Strikes_Head_Total,Sig_Strikes_Head_Percent,Sig_Strikes_Body_Total,Sig_Strikes_Body_Percent,Sig_Strikes_Leg_Total,Sig_Strikes_Leg_Percent,Win_by_KO/TKO_Total,Win_by_KO/TKO_Percent,Win_by_Decision_Total,Win_by_Decision_Percent,Win_by_Submission_Total,Win_by_Submission_Percent
John Adajar,,Welterweight Division,0,0,0,0.53,0.0,34,0.0,0,3.9,0.0,0.44,0.0,6.28,0.0,0.0,277,,"Jun. 10, 2022",0.0,1.0,0.0,18,0,1.0,0.06,17.0,0.94,0.0,0.0,11.0,0.61,5.0,0.28,2.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,"""The Kraken""",Heavyweight Division,5,0,0,0.56,0.67,420,2.0,3,7.09,0.91,0.35,0.0,4.06,0.0,0.57,396,"Houston, United States","Dec. 15, 2018",5.0,3.0,0.0,234,0,52.0,0.22,112.0,0.48,70.0,0.3,192.0,0.82,32.0,0.14,10.0,0.04,5.0,1.0,0.0,0.0,0.0,0.0
Anthony Adams,,Middleweight Division,0,0,0,0.42,0.0,227,0.0,7,3.17,0.0,0.44,0.0,5.93,0.0,0.0,900,"Philadelphia, United States","Feb. 11, 2025",8.0,2.0,0.0,95,0,11.0,0.12,84.0,0.88,0.0,0.0,37.0,0.39,29.0,0.31,29.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
Scott Adams,,Heavyweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"San Luis Obispo, United States","Mar. 10, 2000",6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarrukh Adashev,"""The Lion""",Flyweight Division,2,0,0,0.4,0.0,285,0.0,5,3.65,0.0,0.65,0.0,3.04,0.48,1.0,473,"Samarkand, Uzbekistan","Jun. 13, 2020",4.0,4.0,0.0,115,0,6.0,0.05,107.0,0.93,2.0,0.02,76.0,0.66,16.0,0.14,23.0,0.2,2.0,0.5,2.0,0.5,0.0,0.0
Israel Adesanya,"""The Last Stylebender""",Middleweight Division,16,0,6,0.48,0.11,2639,0.0,9,4.02,0.05,0.56,0.62,3.2,0.14,0.77,1055,"Lagos, Nigeria","Feb. 11, 2018",24.0,5.0,0.0,1271,0,64.0,0.05,1170.0,0.92,37.0,0.03,623.0,0.49,266.0,0.21,382.0,0.3,16.0,0.67,8.0,0.33,0.0,0.0
Sam Adkins,,Light Heavyweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,United States,"Feb. 16, 1996",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Agallar,,Lightweight Division,0,0,0,0.12,0.0,43,0.0,2,0.69,0.0,0.42,0.0,4.56,0.0,0.0,434,"Racine, United States","Nov. 21, 2003",12.0,3.0,0.0,5,0,1.0,0.2,4.0,0.8,0.0,0.0,2.0,0.4,0.0,0.0,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Mariya Agapova,"""Money Mashka""",Women's Flyweight Division,3,5,6,0.55,0.67,441,2.0,3,4.43,0.55,0.52,0.55,3.62,0.83,0.45,467,Kazakhstan,"Jun. 13, 2020",10.0,5.0,0.0,241,0,38.0,0.16,163.0,0.68,40.0,0.17,153.0,0.63,67.0,0.28,21.0,0.09,3.0,0.3,2.0,0.2,5.0,0.5
Fabio Agu,,Middleweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,"Feb. 11, 2025",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcello Aguiar,,Welterweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Brazil,"Jun. 9, 2000",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Aguilar,"""Angel of Death""",Featherweight Division,9,2,0,0.4,0.17,924,0.0,6,3.96,0.16,0.52,0.32,4.81,0.0,0.79,800,"Gladewater, United States","Nov. 30, 2018",17.0,5.0,0.0,370,0,29.0,0.08,321.0,0.87,20.0,0.05,224.0,0.61,126.0,0.34,20.0,0.05,9.0,0.53,6.0,0.35,2.0,0.12
Jessica Aguilar,"""Jag""",Women's Strawweight Division,3,7,0,0.51,0.25,620,4.0,16,4.93,0.94,0.54,0.0,7.19,0.24,0.5,764,"Houston, United States","Aug. 1, 2015",20.0,8.0,0.0,314,0,96.0,0.31,194.0,0.62,24.0,0.08,168.0,0.54,88.0,0.28,58.0,0.18,3.0,0.15,10.0,0.5,7.0,0.35
Jesus Aguilar,,Flyweight Division,1,7,4,0.51,0.33,98,0.0,12,1.46,1.75,0.58,0.44,1.26,1.75,0.36,410,"Ensenada, Mexico","Feb. 4, 2023",11.0,2.0,0.0,50,0,6.0,0.12,26.0,0.52,18.0,0.36,33.0,0.66,7.0,0.14,10.0,0.2,1.0,0.09,3.0,0.27,7.0,0.64
Christian Aguilera,"""The Beast""",Welterweight Division,11,0,0,0.38,0.0,72,0.0,1,2.54,0.0,0.49,0.0,4.04,0.0,0.6,213,"Whittier, United States","Jun. 13, 2020",14.0,8.0,0.0,27,0,0.0,0.0,27.0,1.0,0.0,0.0,16.0,0.59,3.0,0.11,8.0,0.3,11.0,0.73,4.0,0.27,0.0,0.0
Nick Aguirre,"""Slick""",Bantamweight Division,3,4,6,0.34,0.2,56,0.0,10,0.73,1.16,0.46,0.0,2.89,0.58,0.33,779,"Cicero, United States","Jan. 14, 2023",7.0,2.0,0.0,19,0,1.0,0.05,18.0,0.95,0.0,0.0,18.0,0.95,1.0,0.05,0.0,0.0,3.0,0.43,0.0,0.0,4.0,0.57
