EVENT,BOUT,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc 309: jones vs. miocic,mauricio ruffy vs. james llontop,3,300,mauricio ruffy,james llontop,3.0,5.0,0.0,0.0,0,0,catch weight,1,0,2,9,2024-11-16,"new york city, new york, usa",900.0
ufc 309: jones vs. miocic,jonathan martinez vs. marcus mcghee,3,300,jonathan martinez,marcus mcghee,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-11-16,"new york city, new york, usa",900.0
ufc 309: jones vs. miocic,jim miller vs. damon jackson,1,164,jim miller,damon jackson,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,1,4,2024-11-16,"new york city, new york, usa",164.0
ufc 309: jones vs. miocic,david onama vs. roberto romero,3,300,david onama,roberto romero,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,2,4,2024-11-16,"new york city, new york, usa",900.0
ufc 309: jones vs. miocic,marcin tybura vs. jhonata diniz,2,300,marcin tybura,jhonata diniz,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,0,8,2024-11-16,"new york city, new york, usa",600.0
ufc 309: jones vs. miocic,mickey gall vs. ramiz brahimaj,1,175,mickey gall,ramiz brahimaj,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-11-16,"new york city, new york, usa",175.0
ufc 309: jones vs. miocic,bassil hafez vs. oban elliott,3,40,bassil hafez,oban elliott,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-11-16,"new york city, new york, usa",640.0
ufc 309: jones vs. miocic,veronica hardy vs. eduarda moura,3,300,veronica hardy,eduarda moura,3.0,5.0,0.0,0.0,1,0,flyweight,0,1,2,1,2024-11-16,"new york city, new york, usa",900.0
ufc fight night: magny vs. prates,neil magny vs. carlos prates,1,290,neil magny,carlos prates,5.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-11-09,"las vegas, nevada, usa",290.0
ufc fight night: magny vs. prates,gerald meerschaert vs. reinier de ridder,3,104,gerald meerschaert,reinier de ridder,3.0,5.0,0.0,0.0,0,0,middleweight,0,1,1,6,2024-11-09,"las vegas, nevada, usa",704.0
ufc fight night: magny vs. prates,gaston bolanos vs. cortavious romious,3,300,gaston bolanos,cortavious romious,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-11-09,"las vegas, nevada, usa",900.0
ufc fight night: magny vs. prates,luana pinheiro vs. gillian robertson,3,300,luana pinheiro,gillian robertson,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-11-09,"las vegas, nevada, usa",900.0
ufc fight night: magny vs. prates,mansur abdul-malik vs. dusko todorovic,1,164,mansur abdul-malik,dusko todorovic,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,0,6,2024-11-09,"las vegas, nevada, usa",164.0
ufc fight night: magny vs. prates,karolina kowalkiewicz vs. denise gomes,3,300,karolina kowalkiewicz,denise gomes,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-11-09,"las vegas, nevada, usa",900.0
ufc fight night: magny vs. prates,elizeu zaleski dos santos vs. zachary scroggin,1,75,elizeu zaleski dos santos,zachary scroggin,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,0,5,2024-11-09,"las vegas, nevada, usa",75.0
ufc fight night: magny vs. prates,matthew semelsberger vs. charles radtke,1,51,matthew semelsberger,charles radtke,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-11-09,"las vegas, nevada, usa",51.0
ufc fight night: magny vs. prates,cody stamann vs. da'mon blackshear,1,259,cody stamann,da'mon blackshear,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,1,2,2024-11-09,"las vegas, nevada, usa",259.0
ufc fight night: magny vs. prates,tresean gore vs. antonio trocoli,1,83,tresean gore,antonio trocoli,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,1,6,2024-11-09,"las vegas, nevada, usa",83.0
ufc fight night: magny vs. prates,melissa mullins vs. klaudia sygula,2,80,melissa mullins,klaudia sygula,3.0,5.0,0.0,0.0,1,0,bantamweight,1,0,0,2,2024-11-09,"las vegas, nevada, usa",380.0
ufc fight night: moreno vs. albazi,brandon moreno vs. amir albazi,5,300,brandon moreno,amir albazi,5.0,5.0,0.0,0.0,0,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",1500.0
ufc fight night: moreno vs. albazi,erin blanchfield vs. rose namajunas,5,300,erin blanchfield,rose namajunas,5.0,5.0,0.0,0.0,1,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",1500.0
ufc fight night: moreno vs. albazi,caio machado vs. brendson ribeiro,3,300,caio machado,brendson ribeiro,3.0,5.0,0.0,0.0,0,0,light heavyweight,0,1,2,7,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,ariane da silva vs. jasmine jasudavicius,3,148,ariane da silva,jasmine jasudavicius,3.0,5.0,0.0,0.0,1,0,flyweight,0,1,1,1,2024-11-02,"edmonton, alberta, canada",748.0
ufc fight night: moreno vs. albazi,marc-andre barriault vs. dustin stoltzfus,1,268,marc-andre barriault,dustin stoltzfus,3.0,5.0,0.0,0.0,0,0,middleweight,0,1,0,6,2024-11-02,"edmonton, alberta, canada",268.0
ufc fight night: moreno vs. albazi,mike malott vs. trevin giles,3,300,mike malott,trevin giles,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,2,5,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,aiemann zahabi vs. pedro munhoz,3,300,aiemann zahabi,pedro munhoz,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,charles jourdain vs. victor henry,2,223,charles jourdain,victor henry,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,1,2,2024-11-02,"edmonton, alberta, canada",523.0
ufc fight night: moreno vs. albazi,jack shore vs. youssef zalal,2,59,jack shore,youssef zalal,3.0,5.0,0.0,0.0,0,0,featherweight,0,1,1,3,2024-11-02,"edmonton, alberta, canada",359.0
ufc fight night: moreno vs. albazi,alexandr romanov vs. rodrigo nascimento,3,300,alexandr romanov,rodrigo nascimento,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,2,8,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,serhiy sidey vs. garrett armfield,3,300,serhiy sidey,garrett armfield,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,chad anheliger vs. cody gibson,3,300,chad anheliger,cody gibson,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: moreno vs. albazi,jamey-lyn horth vs. ivana petrovic,3,300,jamey-lyn horth,ivana petrovic,3.0,5.0,0.0,0.0,1,0,flyweight,1,0,2,1,2024-11-02,"edmonton, alberta, canada",900.0
ufc fight night: hernandez vs. pereira,anthony hernandez vs. michel pereira,5,142,anthony hernandez,michel pereira,5.0,5.0,0.0,0.0,0,0,middleweight,1,0,0,6,2024-10-19,"las vegas, nevada, usa",1342.0
ufc fight night: hernandez vs. pereira,rob font vs. kyler phillips,3,300,rob font,kyler phillips,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,charles johnson vs.  sumudaerji,3,300,charles johnson,sumudaerji,3.0,5.0,0.0,0.0,0,0,flyweight,1,0,2,1,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,jake hadley vs. cameron smotherman,3,300,jake hadley,cameron smotherman,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,darren elkins vs. daniel pineda,3,300,darren elkins,daniel pineda,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,2,3,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,matheus nicolau vs. asu almabayev,3,300,matheus nicolau,asu almabayev,3.0,5.0,0.0,0.0,0,0,flyweight,0,1,2,1,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,brad katona vs. jean matsumoto,3,300,brad katona,jean matsumoto,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,joselyne edwards vs. tamires vidal,3,273,joselyne edwards,tamires vidal,3.0,5.0,0.0,0.0,1,0,bantamweight,1,0,1,2,2024-10-19,"las vegas, nevada, usa",873.0
ufc fight night: hernandez vs. pereira,jessica penne vs. elise reed,3,300,jessica penne,elise reed,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,melissa martinez vs. alice ardelean,3,300,melissa martinez,alice ardelean,3.0,5.0,0.0,0.0,1,0,strawweight,1,0,2,0,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: hernandez vs. pereira,austen lane vs. robelis despaigne,3,300,austen lane,robelis despaigne,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,2,8,2024-10-19,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,brandon royval vs. tatsuro taira,5,300,brandon royval,tatsuro taira,5.0,5.0,0.0,0.0,0,0,flyweight,1,0,2,1,2024-10-12,"las vegas, nevada, usa",1500.0
ufc fight night: royval vs. taira,brad tavares vs. junyong park,3,300,brad tavares,junyong park,3.0,5.0,0.0,0.0,0,0,middleweight,0,1,2,6,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,chidi njokuani vs. jared gooden,3,300,chidi njokuani,jared gooden,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,grant dawson vs. rafa garcia,2,102,grant dawson,rafa garcia,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,0,4,2024-10-12,"las vegas, nevada, usa",402.0
ufc fight night: royval vs. taira,daniel rodriguez vs. alex morono,3,300,daniel rodriguez,alex morono,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,cj vergara vs. ramazan temirov,1,170,cj vergara,ramazan temirov,3.0,5.0,0.0,0.0,0,0,flyweight,0,1,0,1,2024-10-12,"las vegas, nevada, usa",170.0
ufc fight night: royval vs. taira,jonathan pearce vs. pat sabatini,1,246,jonathan pearce,pat sabatini,3.0,5.0,0.0,0.0,0,0,featherweight,0,1,1,3,2024-10-12,"las vegas, nevada, usa",246.0
ufc fight night: royval vs. taira,themba gorimbo vs. niko price,3,300,themba gorimbo,niko price,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,junior tafa vs. sean sharaf,2,135,junior tafa,sean sharaf,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,0,8,2024-10-12,"las vegas, nevada, usa",435.0
ufc fight night: royval vs. taira,julia polastri vs. cory mckenna,3,300,julia polastri,cory mckenna,3.0,5.0,0.0,0.0,1,0,strawweight,1,0,2,0,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,dan argueta vs. cody haddon,3,300,dan argueta,cody haddon,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-10-12,"las vegas, nevada, usa",900.0
ufc fight night: royval vs. taira,clayton carpenter vs. lucas rocha,2,132,clayton carpenter,lucas rocha,3.0,5.0,0.0,0.0,0,0,flyweight,1,0,1,1,2024-10-12,"las vegas, nevada, usa",432.0
